food,caloric value,carbohydrates,protein,fat,free sugar (g),fibre (g),sodium (mg),calcium (mg),iron (mg),vitamin c (mg),folate (µg)
burrito with beans beef,460.0,47.0,27.8,18.0,,,,,,,
nachos with cinnamon sugar,592.0,63.4,7.2,36.0,,,,,,,
arroz con grandules,209.0,35.4,4.0,5.7,,,,,,,
chili con carne,271.0,33.1,14.7,8.8,,,,,,,
arroz con abichuelas,223.0,37.3,6.2,5.4,,,,,,,
biscuit with sausage,412.0,33.3,10.7,27.1,,,,,,,
vegetarian stew,304.0,17.3,42.0,7.4,,,,,,,
chicken sandwich with cheese,632.0,41.6,29.4,38.8,,,,,,,
biscuit with egg steak,410.0,21.3,17.9,28.4,,,,,,,
taco salad,212.0,17.9,10.0,11.2,,,,,,,
succotash,213.0,46.8,9.7,1.5,,,,,,,
nachos with cheese jalapeno peppers,608.0,60.1,16.8,34.1,,,,,,,
biscuit with egg ham,442.0,31.4,20.4,27.0,,,,,,,
ladyfingers,103.0,16.9,3.0,2.6,,,,,,,
mozzarella steak fried,102.0,7.7,4.6,5.9,,,,,,,
tamale navajo,285.0,33.7,11.7,11.4,,,,,,,
blueberry pancakes,84.0,11.0,2.3,3.5,,,,,,,
chimichanga with beef cheese,443.0,39.3,20.1,23.4,,,,,,,
egg cheese sandwich,340.0,25.9,15.6,19.4,,,,,,,
biscuit with egg bacon,458.0,28.6,17.0,31.1,,,,,,,
pupusas con queso,300.0,26.2,13.7,15.5,,,,,,,
apple croissant,145.0,21.1,4.2,5.0,,,,,,,
refried red beans,336.0,36.0,11.7,16.1,,,,,,,
tostada with guacamole,180.0,16.0,6.2,11.6,,,,,,,
chicken sandwich,468.0,39.1,30.4,20.9,,,,,,,
fried rice,228.0,43.4,6.5,3.2,,,,,,,
pupusas del cerdo,283.0,28.1,14.0,12.7,,,,,,,
turkey pot pie,699.0,70.3,25.8,34.9,,,,,,,
cheese croissant,331.0,37.6,7.4,16.7,,,,,,,
chimichanga with beef,425.0,42.8,19.6,19.7,,,,,,,
french toast with butter,178.0,18.0,5.2,9.4,,,,,,,
ham egg cheese sandwich,347.0,30.9,19.2,16.3,,,,,,,
english muffin with butter,189.0,30.4,4.9,5.8,,,,,,,
savoury noodle one pan dinner tandaco,172.0,5.5,0.0,1.2,,,,,,,
ham cheese sandwich,352.0,33.3,20.7,15.5,,,,,,,
sweet gefilte fish,35.0,3.1,3.8,0.7,,,,,,,
poached egg,72.0,0.4,6.3,4.7,,,,,,,
tostada with beef cheese,315.0,22.8,19.0,16.3,,,,,,,
tostada with beans cheese,223.0,26.5,9.6,9.9,,,,,,,
pork tamale,247.0,22.4,10.4,12.8,,,,,,,
nachos with cheese,274.0,27.9,3.5,17.2,,,,,,,
pulled pork in barbecue sauce,418.0,46.7,32.8,11.0,,,,,,,
baked potato with cheese sauce,474.0,46.5,14.6,28.7,,,,,,,
baked beans,310.0,43.3,11.1,10.3,,,,,,,
arroz con frijoles,220.0,35.6,6.8,5.6,,,,,,,
taco with beef cheese lettuce,156.0,13.7,6.1,8.8,,,,,,,
burrito with beans cheese beef,165.0,19.8,7.3,6.6,,,,,,,
egg mix,30.0,0.098,2.4,2.2,,,,,,,
falafel,57.0,5.4,2.3,3.0,,,,,,,
taco salad with chili con carne,193.0,17.7,11.6,8.8,,,,,,,
wonton wrappers,93.0,18.5,3.1,0.5,,,,,,,
hushpuppies,512.0,69.9,11.7,20.5,,,,,,,
chicken pot pie,598.0,57.3,14.6,34.6,,,,,,,
general tsos chicken,1578.0,128.3,69.0,87.5,,,,,,,
burrito with beans cheese,379.0,57.8,13.6,11.2,,,,,,,
vegetarian fillets,247.0,7.7,19.6,15.3,,,,,,,
biscuit with egg sausage,505.0,34.1,18.0,33.6,,,,,,,
chicken chow mein,513.0,50.1,40.8,16.9,,,,,,,
fruit burrito,231.0,35.0,2.5,9.5,,,,,,,
arroz con leche,369.0,63.0,8.1,9.3,,,,,,,
caramel custard flan,444.0,69.7,13.9,12.3,,,,,,,
gelatin dessert,167.0,38.3,3.3,0.0,,,,,,,
chocolate milk dessert,229.0,51.6,5.9,1.4,,,,,,,
chocolate mousse,338.0,24.1,6.2,24.0,,,,,,,
dulce de leche,60.0,10.5,1.3,1.4,,,,,,,
apple crisp,454.0,87.0,4.9,9.7,,,,,,,
spinach spaghetti cooked,182.0,36.6,6.4,0.9,,,,,,,
corn pasta cooked,176.0,39.1,3.7,1.0,,,,,,,
spaghetti with meat sauce,255.0,43.1,14.3,2.9,,,,,,,
pasta with meatballs in tomato sauce,273.0,28.3,10.6,13.0,,,,,,,
cheese tortellini,332.0,50.8,14.6,7.8,,,,,,,
pasta with sliced franks in tomato sauce,227.0,32.0,11.0,6.0,,,,,,,
lasagna,166.0,18.9,9.0,6.1,,,,,,,
macaroni cheese,310.0,43.7,12.6,9.4,,,,,,,
vegetable lasagna,316.0,32.2,15.6,13.7,,,,,,,
spinach egg noodles cooked,211.0,38.8,8.1,2.5,,,,,,,
cheese lasagna,316.0,33.6,15.9,13.0,,,,,,,
pasta with tomato sauce,176.0,35.1,5.6,1.8,,,,,,,
spinach pasta cooked,37.0,7.1,1.4,0.3,,,,,,,
vegetable chicken soup,166.0,21.1,12.3,4.8,,,,,,,
bean ham soup,198.0,33.5,10.3,2.5,,,,,,,
cream of chicken soup,227.0,18.0,6.0,14.5,,,,,,,
tomato soup canned,139.0,22.6,6.3,3.3,,,,,,,
egg drop soup,65.0,10.3,2.8,1.5,,,,,,,
scotch broth,197.0,23.0,12.1,6.4,,,,,,,
cream of onion soup,268.0,31.7,6.7,12.8,,,,,,,
chicken broth dry,10.0,1.1,0.7,0.2,,,,,,,
vegetable soup with beef broth,162.0,26.3,6.0,3.8,,,,,,,
chili with beans canned,287.0,30.5,14.6,14.1,,,,,,,
beef noodle soup,168.0,17.9,9.6,6.2,,,,,,,
consomme dry,17.0,1.9,2.2,0.2,,,,,,,
chicken mushroom soup,126.0,15.1,2.0,6.1,,,,,,,
beef vegetable soup,120.0,15.4,8.0,2.9,,,,,,,
black bean soup,234.0,39.6,12.4,3.4,,,,,,,
split pea soup with ham bacon,189.0,28.6,11.6,3.1,,,,,,,
cream of mushroom soup,199.0,17.1,3.4,13.4,,,,,,,
green pea soup,320.0,51.7,16.7,5.7,,,,,,,
chicken broth soup,78.0,1.9,11.1,2.6,,,,,,,
chicken mushroom chowder soup,431.0,38.3,16.2,23.7,,,,,,,
chicken dumplings soup,235.0,14.7,13.6,13.4,,,,,,,
chicken vegetable soup,148.0,17.0,7.1,5.6,,,,,,,
turkey vegetable soup,72.0,8.6,3.1,3.0,,,,,,,
wonton soup,71.0,11.7,4.6,0.6,,,,,,,
beef stock,31.0,2.9,4.7,0.2,,,,,,,
mushroom barley soup,186.0,29.3,4.6,5.5,,,,,,,
gazpacho soup,70.0,6.6,10.7,0.4,,,,,,,
beef mushroom soup,186.0,15.9,14.0,7.3,,,,,,,
chicken rice soup,127.0,13.0,12.3,3.2,,,,,,,
pepperpot soup,100.0,9.1,6.2,4.5,,,,,,,
vegetable soup,149.0,24.6,4.3,4.0,,,,,,,
chili beef soup,308.0,49.6,13.4,6.7,,,,,,,
chicken soup,174.0,16.9,12.4,6.5,,,,,,,
bean with frankfurters soup,188.0,22.0,10.0,7.0,,,,,,,
pea soup,161.0,25.6,8.3,2.8,,,,,,,
turkey soup,135.0,14.1,10.2,4.4,,,,,,,
stockpot soup,201.0,23.1,9.8,7.8,,,,,,,
hot sour soup,91.0,10.1,6.0,2.8,,,,,,,
cheese soup,203.0,28.0,2.0,9.7,,,,,,,
cream of potato soup,186.0,32.2,3.8,4.7,,,,,,,
bean with bacon soup,106.0,16.4,5.5,2.1,,,,,,,
fish stock,40.0,0.0,5.3,1.9,,,,,,,
split pea soup with ham,381.0,56.2,20.7,8.9,,,,,,,
beef broth soup,17.0,0.01,2.7,0.5,,,,,,,
lentil soup with ham,139.0,20.2,9.3,2.8,,,,,,,
tomato soup,98.0,22.5,2.2,0.7,,,,,,,
fish broth,39.0,1.0,4.9,1.5,,,,,,,
chili without beans canned,283.0,14.6,18.1,17.0,,,,,,,
minestrone soup,167.0,22.6,8.6,5.0,,,,,,,
clam chowder soup,154.0,24.5,4.4,4.4,,,,,,,
tomato vegetable soup,54.0,9.9,1.9,0.8,,,,,,,
cream of rice coup,127.0,28.1,2.2,0.2,,,,,,,
cream of celery soup,181.0,17.7,3.3,11.2,,,,,,,
chicken gravy,188.0,12.9,4.6,13.6,,,,,,,
tomato rice soup,240.0,44.1,4.2,5.5,,,,,,,
vegetable beef soup,128.0,9.6,18.1,2.0,,,,,,,
tomato beef noodle soup,281.0,42.3,8.9,8.6,,,,,,,
oyster stew soup,118.0,8.2,4.2,7.7,,,,,,,
ramen noodle soup dry,371.0,53.9,8.9,13.3,,,,,,,
chicken noodle soup,145.0,18.4,7.2,4.7,,,,,,,
chicken bouillon dry,11.0,0.7,0.7,0.6,,,,,,,
cream of asparagus soup,174.0,21.5,4.6,8.2,,,,,,,
turkey noodle soup,139.0,17.3,7.8,4.0,,,,,,,
cream of shrimp soup,181.0,16.5,5.6,10.4,,,,,,,
bean with pork soup,335.0,44.1,15.3,11.5,,,,,,,
chicken broth,12.0,1.0,1.0,0.5,,,,,,,
beef broth powder,8.0,0.6,0.6,0.3,,,,,,,
split pea soup,180.0,29.9,9.7,2.3,,,,,,,
escarole soup,61.0,4.0,3.4,4.0,,,,,,,
chicken stock,86.0,8.5,6.0,2.9,,,,,,,
tomato bisque soup,248.0,47.7,4.5,5.0,,,,,,,
shark fin soup,99.0,8.2,6.9,4.3,,,,,,,
onion soup,113.0,16.4,7.5,3.5,,,,,,,
chicken gumbo soup,113.0,16.8,5.3,2.9,,,,,,,
crab soup,95.0,12.5,10.4,0.8,,,,,,,
tripe soup,148.0,8.1,17.2,5.2,,,,,,,
little india little lunch,164.0,2.0,0.0,10.6,,,,,,,
original chicken sandwich chick fil a,125.0,0.0,0.0,5.1,,,,,,,
sausage mcmuffin mcdonalds,383.0,28.2,14.6,24.2,,,,,,,
sausage mcgriddles mcdonalds,421.0,42.2,11.4,24.0,,,,,,,
crispy chicken drumstick kentucky fried chicken,70.0,0.0,10.6,3.0,,,,,,,
chicken crispy drumsticks kentucky fried chicken,156.0,4.5,11.8,10.1,,,,,,,
biscuit kentucky fried chicken,185.0,22.1,3.8,9.1,,,,,,,
english muffin mcdonalds,97.0,2.9,5.7,2.3,,,,,,,
french fries mcdonalds,378.0,49.8,4.0,18.1,,,,,,,
hotdog,383.0,28.5,16.4,23.0,,,,,,,
french fries burger king,207.0,28.6,2.4,9.2,,,,,,,
original taco with beef cheese lettuce taco bell,158.0,13.7,6.1,8.8,,,,,,,
hotdog with chili,296.0,31.3,13.5,13.4,,,,,,,
chicken crispy wings kentucky fried chicken,148.0,5.1,9.2,10.1,,,,,,,
egg white delight mcdonalds,250.0,0.0,0.0,16.0,,,,,,,
french toast sticks burger king,73.0,8.7,1.3,3.7,,,,,,,
mcchicken mcdonalds,358.0,36.6,13.7,17.3,,,,,,,
nachos supreme taco bell,480.0,45.0,14.8,26.6,,,,,,,
crispy chicken wing kentucky fried chicken,104.0,1.3,12.6,5.3,,,,,,,
chicken strips burger king,105.0,7.4,6.6,5.5,,,,,,,
crispy chicken breast kentucky fried chicken,214.0,0.4,38.2,6.7,,,,,,,
sausage biscuit mcdonalds,440.0,31.8,11.3,29.7,,,,,,,
sausage burrito mcdonalds,339.0,24.2,13.0,17.1,,,,,,,
onion rings fried,27.0,2.8,0.3,1.6,,,,,,,
onion rings burger king,379.0,39.7,3.5,23.0,,,,,,,
turkey patty fried,79.0,4.4,3.9,5.0,,,,,,,
hotcakes with syrup mcdonalds,601.0,101.8,9.0,17.8,,,,,,,
crispy chicken thigh kentucky fried chicken,163.0,0.0,20.4,9.1,,,,,,,
corn dog,195.0,21.0,6.7,9.4,,,,,,,
chicken box mcdonalds,70.0,5.5,0.2,4.0,,,,,,,
potato wedges kentucky fried chicken,379.0,45.0,5.4,19.8,,,,,,,
scrambled eggs mcdonalds,98.0,0.9,7.7,7.5,,,,,,,
egg mcmuffin mcdonalds,287.0,27.3,17.2,12.2,,,,,,,
nachos taco bell,362.0,36.0,5.1,21.9,,,,,,,
biscuit large mcdonalds,310.0,39.4,5.5,14.4,,,,,,,
crispy chicken strips kentucky fried chicken,129.0,6.4,9.5,7.2,,,,,,,
hotcakes mcdonalds,113.0,19.0,3.0,2.9,,,,,,,
chicken crispy breast kentucky fried chicken,375.0,11.9,29.7,23.2,,,,,,,
hotcakes sausage mcdonalds,776.0,102.4,15.5,34.9,,,,,,,
chicken mcnuggets mcdonalds,48.0,2.4,2.5,3.2,,,,,,,
chips chipotle,151.0,2.1,0.2,7.1,,,,,,,
biscuit mcdonalds,261.0,33.3,4.7,12.2,,,,,,,
rice bowl with chicken,36.0,6.4,1.6,0.4,,,,,,,
spaghetti with meatballs,200.0,22.9,8.7,8.2,,,,,,,
meat ravioli canned,259.0,36.0,8.9,8.9,,,,,,,
cheese ravioli canned,186.0,33.0,6.0,3.5,,,,,,,
premium crispy chicken ranch blt sandwich mcdonalds,586.0,59.8,35.3,22.9,,,,,,,
steak sandwich,459.0,52.0,30.3,14.1,,,,,,,
cheeseburger burger king,380.0,31.5,19.4,19.7,,,,,,,
cheeseburger mcdonalds,313.0,33.1,15.4,14.0,,,,,,,
double cheeseburger,643.0,41.0,37.0,36.9,,,,,,,
double hamburger,942.0,51.4,52.1,58.6,,,,,,,
premium grilled chicken classic sandwich mcdonalds,366.0,44.6,28.3,8.6,,,,,,,
big n tasty with cheese mcdonalds,573.0,39.7,27.2,36.0,,,,,,,
premium grilled chicken club sandwich mcdonalds,493.0,44.3,38.3,18.0,,,,,,,
quarter pounder mcdonalds,417.0,37.9,24.1,19.8,,,,,,,
premium crispy chicken classic sandwich mcdonalds,524.0,58.6,27.8,20.0,,,,,,,
veggie burger,124.0,10.0,11.0,4.4,,,,,,,
quarter pounder with cheese mcdonalds,513.0,39.7,29.0,28.3,,,,,,,
beef sandwich steak raw,173.0,0.0,9.2,15.1,,,,,,,
cheeseburger,292.0,28.7,15.0,13.2,,,,,,,
premium grilled chicken ranch blt sandwich mcdonalds,412.0,44.3,33.7,10.9,,,,,,,
double whopper with cheese burger king,1061.0,53.9,57.7,68.1,,,,,,,
big mac mcdonalds,563.0,44.0,25.9,32.8,,,,,,,
sandwich with cold cuts,833.0,79.9,41.1,39.3,,,,,,,
filet o fish mcdonalds,378.0,35.4,15.1,19.6,,,,,,,
hand breaded chicken tenders carls jr,57.0,0.2,0.0,2.9,,,,,,,
grilled chicken sandwich wendys,370.0,0.0,0.0,8.0,,,,,,,
sandwich with roast beef,410.0,44.3,28.6,13.0,,,,,,,
hamburger burger king,258.0,26.5,14.7,10.4,,,,,,,
big n tasty mcdonalds,524.0,38.5,24.7,31.7,,,,,,,
roast beef sandwich,364.0,33.1,22.6,15.3,,,,,,,
roast beef sandwich with cheese,473.0,45.4,32.2,18.0,,,,,,,
hamburger,255.0,28.7,12.9,9.9,,,,,,,
premium fish sandwich burger king,572.0,58.7,22.6,27.4,,,,,,,
whopper burger king,790.0,52.8,35.4,48.4,,,,,,,
sandwich with tuna salad,584.0,55.4,29.7,28.0,,,,,,,
original chicken sandwich burger king,569.0,52.2,24.2,29.2,,,,,,,
double whopper burger king,942.0,51.4,52.1,58.6,,,,,,,
premium crispy chicken club sandwich mcdonalds,635.0,57.4,39.1,29.9,,,,,,,
hamburger mcdonalds,251.0,28.8,12.3,9.6,,,,,,,
pepperoni pizza dominos,308.0,36.0,12.7,12.6,,,,,,,
sausage pizza,325.0,35.5,13.3,14.3,,,,,,,
pepperoni pizza,313.0,35.5,13.0,13.2,,,,,,,
pepperoni pizza pizza hut,269.0,30.3,12.3,10.9,,,,,,,
cheese pizza pizza hut,260.0,30.0,11.5,10.5,,,,,,,
cheese pizza,285.0,35.7,12.2,10.4,,,,,,,
cheese pizza dominos,278.0,35.9,11.7,9.7,,,,,,,
meat vegetable pizza,332.0,34.5,15.0,14.8,,,,,,,
sucker raw,146.0,0.0,26.6,3.7,,,,,,,
northern pike raw,348.0,0.0,76.3,2.7,,,,,,,
haddock cooked,135.0,0.0,30.0,0.8,,,,,,,
burbot cooked,104.0,0.0,22.3,0.9,,,,,,,
pollock cooked,356.0,0.0,75.3,3.8,,,,,,,
rainbow smelt raw,27.0,0.0,5.0,0.7,,,,,,,
whitefish cooked,265.0,0.0,37.7,11.6,,,,,,,
walleye pike raw,148.0,0.0,30.4,1.9,,,,,,,
carp cooked,275.0,0.0,38.9,12.2,,,,,,,
wolffish cooked,293.0,0.0,53.4,7.3,,,,,,,
snapper cooked,218.0,0.0,44.7,2.9,,,,,,,
roe cooked,58.0,0.5,8.1,2.3,,,,,,,
anchovy raw,37.0,0.0,5.8,1.4,,,,,,,
herring raw,291.0,0.0,33.0,16.6,,,,,,,
cod raw,189.0,0.0,41.1,1.5,,,,,,,
tilapia raw,111.0,0.0,23.3,2.0,,,,,,,
whiting cooked,84.0,0.0,16.9,1.2,,,,,,,
skipjack tuna cooked,407.0,0.0,86.9,4.0,,,,,,,
salmon cooked,733.0,0.0,78.7,44.0,,,,,,,
chum salmon cooked,474.0,0.0,79.5,14.9,,,,,,,
american shad cooked,363.0,0.0,31.3,25.4,,,,,,,
shark cooked,65.0,1.8,5.3,3.9,,,,,,,
trout cooked,118.0,0.0,16.5,5.3,,,,,,,
swordfish raw,196.0,0.0,26.7,9.0,,,,,,,
rainbow trout cooked,119.0,0.0,16.9,5.2,,,,,,,
fish sandwich with cheese,374.0,35.4,15.1,19.6,,,,,,,
jellyfish dried,21.0,0.0,3.2,0.8,,,,,,,
mullet raw,139.0,0.0,23.0,4.5,,,,,,,
halibut cooked,353.0,0.0,71.7,5.1,,,,,,,
lingcod raw,213.0,0.0,44.2,2.7,,,,,,,
orange roughy cooked,30.0,0.0,6.4,0.3,,,,,,,
cisco raw,77.0,0.0,15.0,1.5,,,,,,,
florida pompano cooked,186.0,0.0,20.8,10.7,,,,,,,
snapper raw,218.0,0.0,44.7,2.9,,,,,,,
fish sandwich,565.0,58.7,22.6,27.4,,,,,,,
haddock raw,143.0,0.0,31.5,0.9,,,,,,,
ocean perch raw,51.0,0.0,9.8,1.0,,,,,,,
cuttlefish cooked,45.0,0.5,9.2,0.4,,,,,,,
cod cooked,189.0,0.0,41.1,1.5,,,,,,,
seatrout raw,248.0,0.0,39.8,8.6,,,,,,,
flounder raw,114.0,0.0,20.2,3.1,,,,,,,
spot cooked,79.0,0.0,11.9,3.1,,,,,,,
walleye pike cooked,148.0,0.0,30.4,1.9,,,,,,,
perch raw,55.0,0.0,11.6,0.6,,,,,,,
pumpkin seed sunfish raw,43.0,0.0,9.3,0.3,,,,,,,
salt mackerel,415.0,0.0,25.2,34.1,,,,,,,
mackerel cooked,231.0,0.0,21.0,15.7,,,,,,,
tilapia cooked,111.0,0.0,22.8,2.3,,,,,,,
drum raw,236.0,0.0,34.7,9.8,,,,,,,
atlantic croaker fried,192.0,6.6,15.8,11.0,,,,,,,
pumpkin seed sunfish cooked,42.0,0.0,9.2,0.3,,,,,,,
wolffish raw,294.0,0.0,53.6,7.3,,,,,,,
bluefin tuna cooked,276.0,0.0,44.9,9.4,,,,,,,
scup cooked,68.0,0.0,12.1,1.8,,,,,,,
herring cooked,290.0,0.0,32.9,16.6,,,,,,,
bluefish raw,186.0,0.0,30.1,6.4,,,,,,,
sheepshead cooked,234.0,0.0,48.4,3.0,,,,,,,
bass cooked,91.0,0.0,15.0,2.9,,,,,,,
pout cooked,279.0,0.0,58.4,3.2,,,,,,,
chinook salmon raw,709.0,0.0,78.9,41.3,,,,,,,
rockfish raw,172.0,0.0,35.1,2.6,,,,,,,
tilefish raw,371.0,0.0,67.6,8.9,,,,,,,
scup raw,174.0,0.0,31.3,4.5,,,,,,,
sablefish cooked,755.0,0.0,51.9,59.3,,,,,,,
tuna salad,383.0,19.3,32.9,19.0,,,,,,,
coho salmon cooked,255.0,0.0,34.7,11.8,,,,,,,
roe raw,20.0,0.2,3.1,0.9,,,,,,,
sea bass raw,125.0,0.0,23.8,2.6,,,,,,,
pink salmon cooked,349.0,0.0,56.0,12.0,,,,,,,
sockeye salmon cooked,493.0,0.0,82.1,17.3,,,,,,,
whitefish raw,265.0,0.0,37.8,11.6,,,,,,,
greenland halibut cooked,760.0,0.0,58.6,56.4,,,,,,,
northern pike cooked,350.0,0.0,76.5,2.7,,,,,,,
salmon raw,824.0,0.0,80.9,53.1,,,,,,,
turbot cooked,388.0,0.0,65.4,12.0,,,,,,,
surimi,28.0,1.9,4.3,0.3,,,,,,,
chinook salmon cooked,711.0,0.0,79.2,41.2,,,,,,,
mullet cooked,140.0,0.0,23.1,4.5,,,,,,,
chum salmon raw,3.0,0.0,0.6,0.1,,,,,,,
butterfish raw,47.0,0.0,5.5,2.6,,,,,,,
sea bass cooked,125.0,0.0,23.9,2.6,,,,,,,
greenland halibut raw,759.0,0.0,58.6,56.5,,,,,,,
halibut raw,371.0,0.0,75.7,5.4,,,,,,,
sturgeon cooked,184.0,0.0,28.2,7.0,,,,,,,
fish fillet fried,211.0,15.4,13.3,11.2,,,,,,,
rainbow trout raw,111.0,0.0,15.8,4.9,,,,,,,
pout raw,278.0,0.0,58.6,3.2,,,,,,,
rainbow smelt cooked,35.0,0.0,6.4,0.9,,,,,,,
monkfish raw,22.0,0.0,4.1,0.4,,,,,,,
trout raw,117.0,0.0,16.4,5.2,,,,,,,
shark raw,37.0,0.0,5.9,1.3,,,,,,,
burbot raw,104.0,0.0,22.4,0.9,,,,,,,
dolphinfish cooked,173.0,0.0,37.7,1.4,,,,,,,
crayfish cooked,25.0,0.0,5.0,0.4,,,,,,,
dolphinfish raw,173.0,0.0,37.7,1.4,,,,,,,
perch cooked,54.0,0.0,11.4,0.5,,,,,,,
cusk raw,106.0,0.0,23.2,0.8,,,,,,,
bluefin tuna raw,41.0,0.0,6.6,1.4,,,,,,,
milkfish cooked,54.0,0.0,7.4,2.4,,,,,,,
carp raw,277.0,0.0,38.9,12.2,,,,,,,
sturgeon raw,30.0,0.0,4.6,1.1,,,,,,,
orange roughy raw,22.0,0.0,4.6,0.2,,,,,,,
catfish fried,199.0,7.0,15.7,11.6,,,,,,,
cuttlefish raw,22.0,0.2,4.6,0.2,,,,,,,
bass raw,90.0,0.0,14.9,2.9,,,,,,,
flounder cooked,109.0,0.0,19.4,3.0,,,,,,,
milkfish raw,42.0,0.0,5.8,1.9,,,,,,,
eel raw,375.0,0.0,37.6,23.8,,,,,,,
catfish raw,189.0,0.0,24.2,9.4,,,,,,,
fish sticks,78.0,6.1,3.1,4.5,,,,,,,
coho salmon raw,254.0,0.0,33.8,12.2,,,,,,,
monkfish cooked,27.0,0.0,5.3,0.6,,,,,,,
yellowtail cooked,546.0,0.0,86.6,19.6,,,,,,,
yellowfin tuna cooked,37.0,0.0,8.2,0.2,,,,,,,
ling cooked,168.0,0.0,36.8,1.2,,,,,,,
eel cooked,67.0,0.0,6.7,4.2,,,,,,,
sablefish raw,753.0,0.0,51.8,59.1,,,,,,,
salmon nuggets,60.0,4.0,3.6,3.3,,,,,,,
yellowtail raw,546.0,0.0,86.5,19.6,,,,,,,
butterfish cooked,47.0,0.0,5.5,2.6,,,,,,,
caviar,42.0,0.6,3.9,2.9,,,,,,,
pollock raw,355.0,0.0,75.0,3.8,,,,,,,
catfish cooked,206.0,0.0,26.4,10.3,,,,,,,
whiting raw,83.0,0.0,16.8,1.2,,,,,,,
pink salmon raw,404.0,0.0,65.2,14.0,,,,,,,
yellowfin tuna raw,31.0,0.0,6.9,0.1,,,,,,,
mackerel raw,230.0,0.0,20.8,15.6,,,,,,,
turbot raw,388.0,0.0,65.5,12.0,,,,,,,
cusk cooked,106.0,0.0,23.1,0.8,,,,,,,
atlantic croaker raw,82.0,0.0,14.0,2.5,,,,,,,
sucker cooked,148.0,0.0,26.6,3.7,,,,,,,
spot raw,79.0,0.0,11.8,3.1,,,,,,,
drum cooked,236.0,0.0,34.6,9.7,,,,,,,
crayfish raw,3.0,0.0,0.6,0.048,,,,,,,
tilefish cooked,441.0,0.0,73.5,14.1,,,,,,,
bluefish cooked,186.0,0.0,30.1,6.4,,,,,,,
grouper cooked,238.0,0.0,50.2,2.6,,,,,,,
sheepshead raw,257.0,0.0,48.1,5.7,,,,,,,
herring kippered,87.0,0.0,9.8,4.9,,,,,,,
grouper raw,238.0,0.0,50.2,2.6,,,,,,,
ocean perch cooked,48.0,0.0,9.3,0.9,,,,,,,
ling raw,168.0,0.0,36.7,1.2,,,,,,,
lingcod cooked,329.0,0.0,68.4,4.1,,,,,,,
florida pompano raw,184.0,0.0,20.7,10.6,,,,,,,
rockfish cooked,162.0,0.0,33.1,2.4,,,,,,,
seatrout cooked,247.0,0.0,39.9,8.6,,,,,,,
sockeye salmon raw,562.0,0.0,84.4,22.2,,,,,,,
swordfish cooked,182.0,0.0,24.9,8.4,,,,,,,
american shad raw,362.0,0.0,31.2,25.3,,,,,,,
sardine canned in oil,310.0,0.0,36.7,17.1,,,,,,,
anchovy canned in oil,8.0,0.0,1.2,0.4,,,,,,,
salmon canned,520.0,0.0,79.1,20.3,,,,,,,
sardines in tomato sauce canned,165.0,0.5,18.6,9.3,,,,,,,
sockeye salmon canned,563.0,0.0,79.5,24.9,,,,,,,
tuna canned,102.0,0.0,18.9,2.4,,,,,,,
pink salmon canned,530.0,0.0,80.9,20.4,,,,,,,
cod canned,328.0,0.0,71.0,2.7,,,,,,,
eastern oyster canned,110.0,6.3,11.4,4.0,,,,,,,
chum salmon canned,520.0,0.0,79.1,20.3,,,,,,,
tuna canned in oil,331.0,0.0,47.2,14.4,,,,,,,
wild pink salmon oceans,320.0,0.0,0.0,16.0,,,,,,,
shrimp canned,128.0,0.0,26.1,1.7,,,,,,,
alaska king crab raw,144.0,0.0,31.5,1.0,,,,,,,
scallops fried,64.0,6.4,2.6,3.2,,,,,,,
shrimp cooked,7.0,0.013,1.3,0.092,,,,,,,
clams fried,19.0,1.0,1.3,1.0,,,,,,,
alaska king crab cooked,130.0,0.0,25.9,2.1,,,,,,,
scallops cooked,11.0,0.5,2.1,0.058,,,,,,,
squid fried,140.0,6.2,14.4,6.0,,,,,,,
oyster raw,41.0,2.5,4.7,1.2,,,,,,,
abalone,89.0,5.1,14.5,0.6,,,,,,,
queen crab raw,25.0,0.0,5.2,0.3,,,,,,,
whelk cooked,78.0,4.4,13.5,0.2,,,,,,,
oyster cooked,41.0,2.5,4.7,1.2,,,,,,,
eastern oyster cooked,8.0,0.7,0.7,0.2,,,,,,,
blue mussels cooked,344.0,14.8,47.6,9.0,,,,,,,
octopus raw,23.0,0.6,4.2,0.3,,,,,,,
spiny lobster cooked,233.0,5.1,43.0,3.2,,,,,,,
blue mussels raw,129.0,5.5,17.9,3.4,,,,,,,
queen crab cooked,98.0,0.0,20.2,1.3,,,,,,,
dungeness crab cooked,140.0,1.2,28.3,1.6,,,,,,,
dungeness crab raw,140.0,1.2,28.4,1.6,,,,,,,
shrimp fried,52.0,4.8,1.3,3.2,,,,,,,
shrimp raw,4.0,0.041,0.7,0.023,,,,,,,
blue crab cooked,71.0,0.0,15.2,0.6,,,,,,,
shrimp imitation,29.0,2.6,3.5,0.4,,,,,,,
conch baked,165.0,2.2,33.4,1.5,,,,,,,
squid raw,26.0,0.9,4.4,0.4,,,,,,,
scallop raw,10.0,0.5,1.8,0.091,,,,,,,
lobster raw,116.0,0.0,24.8,1.1,,,,,,,
scallop imitation,28.0,3.0,3.6,0.1,,,,,,,
blue crab raw,18.0,0.018,3.8,0.2,,,,,,,
whelk raw,39.0,2.2,6.7,0.1,,,,,,,
